P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,kp_roll,ki_roll,kp_pitch,ki_pitch,kp_yaw,ki_yaw,Sig_RA,Sig_Dec,Sig_FR,P2P_RA,P2P_DEC,P2P_FR
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,350.0,600.0,250.0,8050.0,260.0,10000.0,21.4941342271716,2.044730959146522,19.188351750423983,86.20117350762992,8.989316337069814,77.65504287608348
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,350.0,600.0,250.0,8050.0,260.0,10000.0,1857.6782674644362,2.043744836374818,19.18293477466008,3801.3661635569833,9.008057271629669,77.90727210170584
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,367.5,600.0,250.0,8050.0,260.0,10000.0,21.48383489010322,2.0427388513481817,19.17710662097896,86.33592089030054,8.992852622867934,77.78700315833512
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,350.0,630.0,250.0,8050.0,260.0,10000.0,21.450597383218867,2.034461429871889,19.143537183952393,85.63435795406681,8.902297105613528,77.14480936839101
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,350.0,600.0,262.5,8050.0,260.0,10000.0,21.49345455387221,2.044163088115633,19.18742721003277,86.19462941979107,8.985879840607007,77.64831234022519
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,350.0,600.0,250.0,8452.5,260.0,10000.0,21.471076588730035,2.0511623343568455,19.16465770516436,85.96899449772081,9.010842251942334,77.42491687010293
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,350.0,600.0,250.0,8050.0,273.0,10000.0,21.497424908827224,2.0462470098687215,19.19143631588711,87.0412540018668,9.053288213923762,78.37120237925026
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,350.0,600.0,250.0,8050.0,260.0,10500.0,21.573115395819457,2.0926911912012245,19.262735359330403,87.13453593667536,9.491799492519005,78.42948991261652
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,355.83333333333337,610.0,254.16666666666669,8184.166666666666,264.33333333333337,10166.666666666668,21.49046904970168,2.055591984572495,19.183693209659936,86.30524805005874,9.117486640811457,77.7173014993482
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,357.7777777777778,613.3333333333333,255.5555555555556,8228.888888888889,265.7777777777778,9555.555555555558,21.40501400969296,2.0183266190839175,19.093387287453574,86.18884643484279,8.710457066215715,77.44718825752932
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,361.66666666666674,620.0,258.33333333333337,8318.333333333332,268.66666666666674,9083.333333333336,21.270694554194186,1.981664705491293,18.95876736328195,84.50654976507282,8.282356041335255,75.9314541937548
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,361.66666666666663,620.0,258.3333333333333,8318.33333333333,251.33333333333337,9750.0,21.414576372550222,2.026157490975834,19.10364039310007,85.20229206287084,8.752750712501529,76.71897824557443
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,365.55555555555566,626.6666666666667,244.4444444444445,8407.777777777777,261.44444444444446,9666.666666666668,21.385667779284514,2.0214865647437317,19.073698816324853,85.6629960725843,8.7398361614416,77.06465905150502
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,362.96296296296305,622.2222222222224,249.53703703703707,8348.148148148148,256.14814814814815,9333.333333333332,21.332021245993076,2.0010180364784085,19.01859763542683,85.15700780160111,8.477880267607668,76.38150944382791
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,349.78395061728406,639.6296296296298,253.54938271604942,8581.697530864196,259.1975308641976,9277.777777777777,21.281918647826515,1.9949789767749346,18.968097228065552,84.31910757828764,8.377347313796093,75.66057580746748
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,367.2119341563788,652.8395061728397,254.7325102880659,8222.263374485596,258.93004115226347,9037.037037037036,21.197589508065917,1.963455464334084,18.88303744827823,82.41167494278778,8.13337411133955,73.95895805306439
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,375.8179012345681,679.2592592592596,257.09876543209884,8107.145061728392,258.39506172839515,8555.555555555555,21.051991372588493,1.9242592707839608,18.726300527120973,78.61982501042873,7.89365111607494,71.01312170859715
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,375.8179012345681,639.2592592592594,257.09876543209884,8643.811728395056,258.39506172839526,8555.555555555558,21.083303849378254,1.9435024434355974,18.761693988430352,79.331510116766,8.031759806993001,71.68808723942593
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,368.8683127572019,655.6790123456794,248.3539094650207,8483.971193415635,269.41563786008237,8407.407407407412,21.05753232356917,1.932027165159941,18.729602115856217,79.78072043182473,7.983094484701306,72.08647975358674
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,366.0836762688617,658.6831275720169,263.5459533607682,8419.92455418381,261.9615912208508,8070.987654320987,21.005445382786117,1.917690047940025,18.66772976162806,77.80133885411144,7.965908612681217,70.12272208438839
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,366.3477366255147,674.6913580246919,273.09670781893,8425.997942386828,262.2201646090539,7273.148148148146,21.007168366737467,1.9088188099651229,18.63847390714876,78.08211569804378,8.232874613156046,69.85066502661198
